"filename", "language", "C#", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Tuanjie Projects\UGJ2025\Assets\BattleDialogue.cs", "C#", 32, 0, 0, 0, 2, 5, 39
"d:\Tuanjie Projects\UGJ2025\Assets\DialogueCharacterManager.cs", "C#", 58, 0, 0, 0, 12, 7, 77
"d:\Tuanjie Projects\UGJ2025\Assets\DialogueSystem.cs", "C#", 281, 0, 0, 0, 35, 37, 353
"d:\Tuanjie Projects\UGJ2025\Assets\IMG\guochang\WormWiggle.cs", "C#", 18, 0, 0, 0, 2, 3, 23
"d:\Tuanjie Projects\UGJ2025\Assets\IMG\mouse\CursorChange.cs", "C#", 37, 0, 0, 0, 3, 1, 41
"d:\Tuanjie Projects\UGJ2025\Assets\ItemInGrid.cs", "C#", -68, 0, 0, 0, -2, -11, -81
"d:\Tuanjie Projects\UGJ2025\Assets\MapGridManager.cs", "C#", 159, 0, 0, 0, 10, 31, 200
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenAnimation.cs", "C#", 677, 0, 0, 0, 167, 74, 918
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeAudio.cs", "C#", 2, 0, 0, 0, 5, 3, 10
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeUnityExtended.cs", "C#", 2, 0, 0, 0, 5, 3, 10
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.Scripts.asmdef", "JSON", 0, 0, 7, 0, 0, 1, 8
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.XML", "XML", 0, 0, 0, 80, 0, 1, 81
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenProShortcuts.cs", "C#", 55, 0, 0, 0, 21, 15, 91
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTextMeshPro.cs", "C#", 674, 0, 0, 0, 279, 85, 1038
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTk2d.cs", "C#", 160, 0, 0, 0, 70, 18, 248
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenAnimationInspector.cs", "C#", 684, 0, 0, 0, 25, 56, 765
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPreviewManager.cs", "C#", 218, 0, 0, 0, 17, 31, 266
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPro.EditorScripts.asmdef", "JSON", 0, 0, 12, 0, 0, 1, 13
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenProEditor.XML", "XML", 0, 0, 0, 18, 0, 1, 19
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTween.Modules.asmdef", "JSON", 0, 0, 3, 0, 0, 1, 4
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DemiLib\Core\DemiLib.xml", "XML", 0, 0, 0, 230, 0, 2, 232
"d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DemiLib\Core\Editor\DemiEditor.xml", "XML", 0, 0, 0, 2405, 0, 1, 2406
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\details.md", "Markdown", 0, 45, 0, 0, 0, 6, 51
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\diff-details.md", "Markdown", 0, 25, 0, 0, 0, 6, 31
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\diff.md", "Markdown", 0, 17, 0, 0, 0, 7, 24
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\results.md", "Markdown", 0, 21, 0, 0, 0, 7, 28
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\details.md", "Markdown", 0, 46, 0, 0, 0, 6, 52
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\diff-details.md", "Markdown", 0, 19, 0, 0, 0, 6, 25
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\diff.md", "Markdown", 0, 17, 0, 0, 0, 7, 24
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\results.md", "Markdown", 0, 21, 0, 0, 0, 7, 28
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CameraMove.cs", "C#", 1, 0, 0, 0, 0, 0, 1
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Card.cs", "C#", 68, 0, 0, 0, 2, 7, 77
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardData\CardData.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardVisual.cs", "C#", 74, 0, 0, 0, 0, 13, 87
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DeckManager.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueManager.cs", "C#", -136, 0, 0, 0, -5, -30, -171
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueDataLoader.cs", "C#", 265, 0, 0, 0, 51, 52, 368
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueManager.cs", "C#", 608, 0, 0, 0, 134, 116, 858
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueType.cs", "C#", 331, 0, 0, 0, 48, 47, 426
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueUI.cs", "C#", 441, 0, 0, 0, 118, 102, 661
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\GridAddition.cs", "C#", 82, 0, 0, 0, 12, 25, 119
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\GridState.cs", "C#", 9, 0, 0, 0, 1, 3, 13
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\HorizontalCardHolder.cs", "C#", 37, 0, 0, 0, 5, 13, 55
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\ItemInGrid.cs", "C#", 135, 0, 0, 0, 7, 28, 170
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\LevelSelectRoot.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\MapGrid.cs", "C#", 69, 0, 0, 0, 13, 12, 94
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\MapGridManager.cs", "C#", -103, 0, 0, 0, -3, -25, -131
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\PlayerInMap.cs", "C#", -164, 0, 0, 0, -6, -26, -196
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\PlayerSwitchManager.cs", "C#", -1, 0, 0, 0, 0, 0, -1
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\EnemyUnit.cs", "C#", 312, 0, 0, 0, 62, 77, 451
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\GameGrid.cs", "C#", 154, 0, 0, 0, 3, 29, 186
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\IsoGrid2D.cs", "C#", 127, 0, 0, 0, 23, 44, 194
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\UnitController.cs", "C#", 96, 0, 0, 0, 0, 28, 124
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\TurnManager.cs", "C#", 4, 0, 0, 0, 3, 0, 7
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\UGUIAnimation.cs", "C#", 121, 0, 0, 0, 4, 12, 137
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\NextTurnButtom.cs", "C#", 65, 0, 0, 0, 11, 17, 93
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\card_preview.cs", "C#", 49, 0, 0, 0, 5, 10, 64
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\close_UI.cs", "C#", 17, 0, 0, 0, 0, 4, 21
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\open_bag.cs", "C#", 34, 0, 0, 0, 4, 10, 48
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\window.cs", "C#", 60, 0, 0, 0, 2, 14, 76
"Total", "-", 5767, 211, 24, 2733, 1145, 1006, 10886