ID,跳转,标志,关卡,人物,人物立绘,立绘位置,条件,东西,效果,内容,看过吗,只能看一次
20000,20001,#,1-0,,,,,信件,,发现一封未封口的信件。,,1
20001,E,%,,,,,,,,"（空白的收信人一栏）：
Club殿下已经回宫，你这时来询问她的反应，使我有点手忙脚乱。我只能在角落悄悄给你写信：
她在宫里大发雷霆，因为房间里没有任何能摔的杂物更加生气。她在外面奔波埋伏，杀死众多弱不禁风的外族，发现国家最大的敌人竟然在宫内，就在众多精英朝夕相处的城堡内……以我之所见，那套世袭的规则，无人再将其奉为不可违背的旨命了。
（信到这里结束，似乎还没完成。）",,
20002,20003,#,1-1,,,,,水井,,"一口古井。
水系相连，母亲河的血管遍布国土，养育一切生物，无处不在。
据说往里投入壳币，有可能获得回礼。",,
20003,,&,,,,,,,money+-3,投入3壳币,,
20004,E,&,,,,,,,,离开,,
20005,E,#,,,,,,,,水漫了上来，什么都没得到。,,
20006,E,#,,,,,,,money++6,清脆的碰撞的声响，水呈上了6壳币。,,
20007,E,#,,,,,,,blood+a++5,一股温暖涌遍全身，全队恢复5点血量。,,
20008,20009,#,,,,,,,,一张纸条？水尚未腐蚀它。,,
20009,E,%,,,,,,,,我饿了。,,
20010,20011,#,,,,,,装饰,,为了大选，特意悬挂在房间里的装饰。大选是POKER国极其重要的政治节日，确认上一任国王已逝或失踪后，在紧邻的下一个特殊节点，所有房间的通道会向大厅开放，这一天所有公民齐聚于此，投票选出继位的新王。,,
20011,E,#,,,,,,,,上一任国王，也就是他们的父亲，和近几届国王一样——以失踪告别自己的统治，国家事务经历了一段空窗期，三位宰相运营颇为吃力。而Spade就在这时主动介入了民生与管理事务，为机关运作提供了很大的帮助。,,
20012,20013,%,1-1,,,,,架子,,"《城堡建筑规划》
详细整理了自建国以来，有信息余留的城堡修建工作。最开始城堡只是一座巨型废墟，不规则的空间相隔，由盘亘交错的通道连接，每隔一天通道的两端会发生偏移，但这种改变并非随机，在一段更长的固定时间内有迹可循，原理过于复杂而未能充分论述。现在所看到的城堡，坚实平直的房间，都是每年修整开拓的结果。",,1
20013,E,%,,,,,,,,圣育池是最古老的城堡设施，位于城堡的中心，随后由此作为王宫的一端，延伸修筑了所有相连频次最高的房间。还有一大片区域等待开发。,,
20014,E,#,1-2,,,,,,,设计得非常精妙的传声器，利用了信息素介质传播声波信号，与整个休息室不太契合。从上下达的命令应当有更奢华的容器，尽管只是游离于人以外的声波符号，也比另一些人尊贵。,,
20015,E,#,1-2,,,,,摇篮,,一颗还未孵化的茧，此刻静静躺在摇篮里。这是所有POKER国人生命最初的形态，高低贵贱在这一刻就得以区分——这个孩子一出生就会被称为Servant，与其他仆人一样的名字，因为它只有Servant的品级，祖先认为这样才能使有所长之人有所用，代代相传至今。但一年份孕育的胚胎，真的就能决定一辈子的成就吗？,,
20016,E,#,1-3,,,,,展示柜-甲壳,,边境虫族的甲壳。它们的肉体结构与我们相似，但甲壳极其坚硬，历久不腐。被视为低等威胁，由历代Q相或武将清剿。,,
20017,E,#,1-3,,,,,展示柜-兵器,,古代冷兵器。由黄铜——一种便于提取且较为坚固的金属铸造，用久后会变钝。厮杀与鲜血的痕迹，证明着往昔的荣耀。,,
20018,E,#,1-3,,,,,展示柜-挂毯,,编织挂毯，上面印有褐藻的图案，史前的POKER人为祈祷丰收手工制作而成。现在看来仍然精美，但没有人会因拥有一块挂毯，就相信口腹之欲能被满足了。,,
20019,E,#,1-3,,,,,展示柜-絮石,,提取出的纯净絮石，一种活跃的金属，会存在于生物体内并以蓝色或红色的化合物形态显现。常用树脂保存，柜中这块因年代久远，已氧化为粉红色态。,,
20020,E,#,1-3,,,,,空展示柜,,空白不意味着遗憾，而是无限可能。,,
20021,E,#,,,,,,鼓风灯,,鼓风灯，燃料在下层容器蒸发至灯芯。顾及有记载以来宫内发生的大大小小火灾，设计者给火焰设置了保护罩，防止其咬人。,,
20022,E,#,1-3,,,,,水瓶,,古老的水瓶。带上吧，容纳之物值得容纳。,,1
20023,E,%,1-4,,,,,书架,,"《颂传史》
王朝的兴衰，划过天空的英雄，数不胜数的故事，美满多而离愁少。也可能只是从一支异想天开的笔下流出的谎言，真实总以悲剧见人。",,1
20024,20025&E,%,1-4,,,,Maid&1,书架,,"《J十六与Q十五密信集》
一对闻名的忘年交，自赋予称号以来，双方交换了将近800多封信件。",,1
20025,20026,#,,Heart,normal,左,,,,我还从未寄过信呢。,,
20026,20027,#,,Maid,,右,,,,您写好信以后，放在房间的角落，会有虫仆替您传递的。,,
20027,20028,#,,Maid,,右,,,,这些运输者能识别文字，会通过残留的气息追溯到收信人，并把信送到别人手上。,,
20028,20029,#,,Maid,,右,,,,人的生命迹象消失后，气息也会更快地消散。主人，我们最好抓紧时间。,,
20029,20030,#,,Heart,jingyas,左,,,,我现在还能给姐姐写信吗？,,
20030,20031,#,,Maid,,右,,,,您试一试？,,
20031,20032,#,,Heart,bianren,左,,,,铺开信纸，在记忆里翻找出了一支曲调，最后写上Spade收。,,
20032,20033,#,,Heart,ding,左,,,,放在任意一个角落吧。,,
20033,E,#,,,,,,,,过了一会，一只虫仆无声无息地到来了，用口足叼起了信封，无措地在原地盘寻许久，最后钻进墙边的裂缝里。,,
20034,E,#,1-4,,,,,书架,,粗略扫了一眼，书架上没有更多感兴趣的书了。,,
20035,E,%,1-4,,,,,书架,,"《苔藓进化习性学》
Spade有段时间把这本书放在枕头底下，每天一醒来就不吃不喝地阅读、记笔记，并且为此整理了一套全注版，配有极其精细的绘图与实验观察数据。科学革命往往发生在对前一范式的充分学习之后。",,1
20036,E,%,1-4,,,,,书架,,"《苔花》
一本文笔细腻绝美的散文诗。Heart很喜欢，他常常在行走时想起里面的一二句诗，忘记手上要做的事。",,1
20037,E,%,1-4,,,,,书架,,"《跑》
一部小说。讲述了一个喜欢跑步的怪人A的故事。他最后在奔跑时踩到弹菇摔死了。",,1
20038,E,%,1-4,,,,,书架,,"《四、六至十二国库记录表集》
这些涉及运作管理机密的书籍不该放在这里，因为太重而过于占空间之类的说辞都应否决，被有心者知道完全可以推算出金库的存量——显然Spade早就这么干过了，甚至找J相预支了一笔费用用于技术研发的启动资金。",,1
20039,E,%,1-4,,,,,书架,,"《7花夫人》
一部爱情小说，7花与一个行商的方A坠入爱河，最后却顺应家庭的安排与门当户对的家族联姻。爱情在一个没有交配行为的种族里，也并不纯粹几分——爱情的本质是权力，此句式也适用于更多抽象事物。",,1
20040,E,%,1-4,,,,,书架,,"《曲调式基础》
Heart会倾力推荐所有人去读它。有些东西看不见而只能被听见，这本书就是一把钥匙。",,1
20041,E,%,1-4,,,,,书架,,"《奇思妙想》
关于技术、装置和异想天开的发明记载，偏重思想，很多有趣而不切实际的想法，Spade在冥思苦想许久后作了详细的批注，警告其他看这本书的人不要当真，真正实现可能在一百任国王死去之后。",,1
20042,E,%,1-4,,,,,书架,,"《结构学》
朴素无华的，往往是最实用的，它也能反向筛选读者。",,1
20043,E,%,1-4,,,,,书架,,"《神学考究》
对古代发源的密教有较为系统和客观考究的一本罕见的学术著作，每一页都被人套上了精致的透明塑封。书上记载密教从部落时期普遍信奉，到帝国时期被排离于官方体系的全过程，一定有潜伏的密教徒试图篡改这本书，但另一个人早就下重金保护了这本书的立场。",,1
20044,20045,%,1-4,,,,,书架,,"《密而教之》
一本关于密教徒的史书。作者明显是密教徒，从贯穿全书的第一人称和狂热的崇拜不难看出。读者需要花大量精力控制自己不被煽动性语句牵制，同时筛选出客观事实。",,1
20045,E,%,,,,,,,,——但读完这本书，会对这个国家的一切运作与其迷信的巧合产生怀疑进而信仰，不是正常的事。往往不是奇迹产生信仰，而是信仰产生奇迹。,,
20046,E,%,1-4,,,,,书架,,"《时代不语》
关于第十二、十三、十四任时流行的花纹图样、服饰、器物。那时审美受到王室内部关系的影响极大，保守的直线形与张扬的大波浪形、柔美的水纹型、双层单层……里面的学问对不关注时尚的人而言看不出门道。如今的审美已经逐渐偏向个性化，彰显穿着者本身性格。",,1
